school,algo,attr,n_communities,modularity,nmi,ari
Caltech36,Louvain,dorm,8,0.40072460918500313,0.7029427631890663,0.6930660236624255
Caltech36,Louvain,year,8,0.40072460918500313,0.08552402243463648,0.015806396700866088
Caltech36,Louvain,major,8,0.40072460918500313,0.07851914383932057,0.004779845811382365
Caltech36,LabelProp,dorm,3,0.00024013924960230752,0.003064381439751902,-0.00017168882926259647
Caltech36,LabelProp,year,3,0.00024013924960230752,0.007832639411794181,0.0014389368329618636
Caltech36,LabelProp,major,3,0.00024013924960230752,0.005459261315106817,8.657076921471289e-05
Reed98,Louvain,dorm,5,0.3168989010366978,0.12269068062751047,0.024345400345533796
Reed98,Louvain,year,5,0.3168989010366978,0.45806979865386716,0.43039320816376014
Reed98,Louvain,major,5,0.3168989010366978,0.06122881993677139,0.0018212363279894682
Reed98,LabelProp,dorm,2,0.10769906822021627,0.040487374332149696,0.0042445183453449446
Reed98,LabelProp,year,2,0.10769906822021627,0.33353933976993577,0.15620380233128361
Reed98,LabelProp,major,2,0.10769906822021627,0.017860549716796664,0.0002496267246564855
Haverford76,Louvain,dorm,5,0.33662537469022324,0.19576603342318977,0.07686507743382122
Haverford76,Louvain,year,5,0.33662537469022324,0.6158123480022046,0.5642578536012789
Haverford76,Louvain,major,5,0.33662537469022324,0.06135701989243736,0.009365325237333388
Haverford76,LabelProp,dorm,2,3.356197423519207e-05,0.0,0.0
Haverford76,LabelProp,year,2,3.356197423519207e-05,0.009773443670160222,0.001241153526380492
Haverford76,LabelProp,major,2,3.356197423519207e-05,0.0031554550176649916,0.0002106038104393651
Smith60,Louvain,dorm,18,0.393740546555558,0.49711916441714415,0.23791504099118146
Smith60,Louvain,year,18,0.393740546555558,0.1813603334099643,0.15356047630922598
Smith60,Louvain,major,18,0.393740546555558,0.07731171439238983,0.008753751740086328
Smith60,LabelProp,dorm,6,0.10463277158873105,0.014153164149172882,-0.00046028185266910757
Smith60,LabelProp,year,6,0.10463277158873105,0.3285361596981271,0.12271455618495553
Smith60,LabelProp,major,6,0.10463277158873105,0.0160985888382961,-0.00015743042581066425
JohnsHopkins55,Louvain,dorm,9,0.45287344157313547,0.26873074365006316,0.08383860414345157
JohnsHopkins55,Louvain,year,9,0.45287344157313547,0.4032468591346389,0.40252450700345227
JohnsHopkins55,Louvain,major,9,0.45287344157313547,0.11685709665470809,0.03430816630246088
JohnsHopkins55,LabelProp,dorm,14,0.16572263875130372,0.17647680027790769,0.0252611434641023
JohnsHopkins55,LabelProp,year,14,0.16572263875130372,0.3330455372565894,0.1516745501904978
JohnsHopkins55,LabelProp,major,14,0.16572263875130372,0.09235228272815307,0.008880777421069715
